address;variable2
"100 High Street";88
"382-384 Brixton Road";42
"11 Little Stonegate";70
"Corner of Pittville & Albion Street, Cheltenham";85
"16 High Street, Unit 7, Grant’s Entertainment Centre";70
"22-24 The Exchange Way, Chelmsford";18
"11 Bridge St";87
"81-91 John Bright St";23
"The Citrus Building, 24 Madeira Road";2
"8 Broad Quay";97
"221 – 223 Cheltenham Road";42
"Hodgehouse, 114-116 St Mary’s Street";36
"1-5 The Wardwick, Cathedral Quarter";3
"16 High Street, Ealing";44
"Guildhall, Queen Street";44
"Dolphin House, 1 North Street, Guildford";0
"50 Kings Street";59
"11 Regents Court";0
"14 The Light, The Headrow";68
"15 Bathhouse Lane,  Highcross";100
"59-61 Hanover Street";69
"Produce Exchange";74
"46-50 Oldham Street, Northern Quarter";71
"33-35 Oxford St";23
"5 Mortimer Square,  The Hub";39
"117 Newgate Street";12
"8 Swan Lane, Norwich";68
"The Cornerhouse, 12 Trinity Square";37
"12 Friars Entry, Magdalen Street";68
"Crystal House, Birley Street";1
"36-38 Station Road";92
"1 Guildhall Square";56
"24-26 High Street";44
"The Scene, Cleveland Place, 269 High Street, Walthamstow";62
"45-47 Marygate Berwick-Upon-Tweed TD15 1AX";41
"112-114 English Street Carlisle CA3 8ND";14
"36-49 Clifford Road Stanley DH9 0XG";80
"51-53 Front Street Chester-Le-Street DH3 3BH";27
"Middleton Grange Shopping Centre Park Road Hartlepool TS24 7RZ";37
"50-52 Newgate Street Bishop Auckland DL14 7EQ";83
"12 Ivison Lane Workington CA14 3DY";23
"49 High Street Redcar TS10 3BZ";80
"64 Queensway Billingham TS23 2NP";18
"Castlegate Shopping Centre High Street Stockton-On-Tees TS18 1AF";26
"Cornmill Shopping Centre Cornmill Centre Darlington DL1 1LS";24
"26-27 Baxtergate Whitby YO21 1BW";63
"167 High Street Northallerton DL7 8JZ";26
"20-21 Brunswick Shopping Centre Scarborough YO11 1UE";83
"107-109 Dalton Road Barrow-In-Furness LA14 1HZ";63
"Promenades Shopping Centre 31 The Promenades Shopping Centre Bridlington YO15 2DX";95
